id_venda,data,valor_venda,estado_cliente
1001,16/09/2024,2344.35,PR
1002,15-03-2024,2375.17,SP
1003,06/09/2024,1988.13,SC
1004,28-02-2024,,SC
1005,26-04-2024,2622.69,PR
1006,09/02/2024,1594.77,SC
1007,2024-09-29,4413.71,rs
1008,12/07/2024,1751.09,SP
1009,2024-03-27,690.52,RJ
1010,25/11/2024,4687.16,RS
1011,18/01/2024,4425.51,SP
1012,2024-11-18,3363.16,ba
1013,17/06/2024,378.57,SP
1014,20-03-2024,3016.66,RS
1015,02-05-2024,,sp
1016,04-03-2024,545.24,RJ
1017,13/04/2024,536.54,MG
1018,17-07-2024,2058.11,SP
1019,25/07/2024,3501.01,SP
1020,2024-11-03,313.53,MG
1021,2024-04-24,2189.82,sc
1022,2024-04-20,1786.74,SC
1023,03/04/2024,4249.87,MG
1024,02-09-2024,2994.69,RS
1025,22/09/2024,4066.87,sp
1026,2024-09-15,2384.33,ba
1027,13-06-2024,1451.36,SP
1028,08-12-2024,3078.07,MG
1029,2024-04-23,1432.39,SP
1030,10-09-2024,342.12,am
1031,2024-02-18,476.31,MG
1032,03/11/2024,2409.47,BA
1033,23-04-2024,4274.56,SC
1034,27-07-2024,4241.61,MG
1035,11/05/2024,4675.87,rj
1036,31/05/2024,4793.39,BA
1037,09/02/2024,2587.15,ba
1038,2024-02-01,3427.39,RS
1039,2024-11-13,4242.01,MG
1040,06-08-2024,1846.5,RJ
1041,29-10-2024,1897.29,RS
1042,28/09/2024,3510.95,MG
1043,15-01-2024,2632.57,rs
1044,16-07-2024,3810.27,rj
1045,29-10-2024,4111.62,RS
1046,15-12-2024,1991.38,sc
1047,22-12-2024,1517.38,SC
1048,23/05/2024,,SP
1049,01-12-2024,3914.28,SC
1050,20/11/2024,869.44,ba
1051,2024-10-20,162.98,PR
1052,13/02/2024,1239.92,MG
1053,2024-06-19,2078.2,MG
1054,16/06/2024,1740.67,sc
1055,2024-01-18,833.99,RJ
1056,2024-03-19,4805.65,ba
1057,2024-12-23,3747.33,SC
1058,25/01/2024,3508.33,SP
1059,11/01/2024,4764.49,MG
1060,25-05-2024,3072.08,RS
1061,2024-07-20,1444.01,RJ
1062,04/06/2024,1679.14,rs
1063,04/01/2024,751.7,sc
1064,2024-01-25,1034.51,SC
1065,2024-05-13,3184.92,RS
1066,09-08-2024,1854.54,sp
1067,2024-08-13,287.6,ba
1068,2024-05-13,1213.48,RJ
1069,07-01-2024,3459.86,RJ
1070,19-11-2024,3524.24,SC
1071,2024-05-19,3986.99,BA
1072,27/08/2024,1060.49,rs
1073,10-06-2024,611.98,mg
1074,2024-11-28,788.92,sp
1075,07/07/2024,3308.16,SP
1076,2024-06-15,3400.82,PR
1077,17-11-2024,4137.82,sp
1078,2024-01-06,,am
1079,04-01-2024,2619.84,RJ
1080,08/04/2024,3153.0,SP
1081,14/09/2024,83.32,AM
